# These data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_ABB: A text abbreviation of the site name primarily for use within the National Water Quality Program
#SITE_QW_ID: Unique USGS station number indicating location where water-quality samples are collected (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_QW_NAME: Unique USGS station name indicating where water-quality samples are collected.
#DA: Drainage area upstream from the water-quality sampling location in square miles. Drainage area is displayed as NA for Mississippi and Atchafalaya River sites downstream from the Old River diversion.
#QW_LAT: Latitude where water-quality samples are collected
#QW_LONG: Longitude where water-quality samples are collected.
#SITE_FLOW_ID: Typically a unique USGS station number indicating location where streamflow data is recorded. In some instances these data are obtained from outside sources--in those cases the site number used by that entity is displayed. If no site number is available an abbreviated indicator of the collecting agency is displayed  (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text) 
#SITE_FLOW_NAME: Unique USGS station name indicating where streamflow associated with water-quality samples are collected. In some instances these data are obtained from outside sources--in those cases the site name used by that entity is displayed
#FLOW_LAT: Latitude of site where streamflow data associated with the water-quality sampling was located.
#FLOW_LONG: Longitude of site where streamflow data associated with the water-quality sampling was located.
#SITE_TYPE: Character representation of the type of monitoring site
"SITE_ABB","SITE_QW_ID","SITE_QW_NAME","DA","QW_LAT","QW_LONG","SITE_FLOW_ID","SITE_FLOW_NAME","FLOW_LAT","FLOW_LONG","SITE_TYPE"
"SUMA","02359170","Apalachicola River near Sumatra, FL","19200","29.949371","-85.015469","02359170","Apalachicola River near Sumatra, FL","29.949371","-85.015469","Coastal Rivers"
"MONR","02429500","Alabama River at Claiborne AL","21967","31.546827","-87.512491","02428400","Alabama River at Claiborne L&D near Monroeville, AL","31.615158","-87.550548","Coastal Rivers"
"COFF","02469762","Tombigbee River near Coffeeville, AL","18417","31.757102","-88.12501","02469761","Tombigbee River near Coffeeville, AL","31.758491","-88.129176","Large Inland Rivers"
"CANN","03303280","Ohio River at Cannelton Dam at Cannelton, IN","97000","37.899501","-86.705542","03303280","Ohio River at Cannelton Dam at Cannelton, IN","37.899501","-86.705542","Large Inland Rivers"
"HAZL","03374100","White River at Hazleton, IN","11305","38.48977","-87.550023","03374000","White River At Petersburg, IN","38.510882","-87.289458","Large Inland Rivers"
"NEWH","03378500","Wabash River at New Harmony, IN","29234","38.13199","-87.940308","03377500","Wabash River at Mt. Carmel, IL","38.398333","-87.756389","Large Inland Rivers"
"TOWN","03497300","Little River above Townsend, TN","106","35.664533","-83.711282","03497300","Little River above Townsend, TN","35.664533","-83.711282","Reference"
"PADU","03609750","Tennessee River at Highway 60 near Paducah, KY","40330","37.037835","-88.52949","TVA","Kentucky Dam outflow (obtained from USGS KY WSC)","37.037835","-88.52949","Large Inland Rivers"
"GRAN","03612600","Ohio River at Olmsted, IL","203000","37.179219","-89.058404","03612600","Ohio River at Olmsted, IL","37.179219","-89.058404","Large Inland Rivers"
"FENC","04063700","Popple River near Fence, WI","139","45.763611","-88.463611","04063700","Popple River near Fence, WI","45.763611","-88.463611","Reference"
"STER","04161820","Clinton River at Sterling Heights, MI","309","42.614478","-83.026593","04161820","Clinton River at Sterling Heights, MI","42.614478","-83.026593","Urban"
"WATE","04193500","Maumee River at Waterville, OH","6330","41.500053","-83.712715","04193500","Maumee River at Waterville, OH","41.500053","-83.712715","Large Inland Rivers"
"MASS","04264331","St. Lawrence River at Cornwall, Ontario, near Massena, NY","298800","45.006111","-74.795","04264331","St. Lawrence River at Cornwall, Ontario, near Massena, NY","45.006111","-74.795","Large Inland Rivers"
"SWIF","05014300","Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier","15.8","48.795444","-113.680583","05014300","Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier","48.795444","-113.680583","Reference"
"FORK","05082500","Red River of the North at Grand Forks, ND","30100","47.926923","-97.029244","05082500","Red River of the North at Grand Forks, ND","47.926923","-97.029244","Large Inland Rivers"
"ELYM","05124480","Kawishiwi River near Ely, MN","254","47.922675","-91.535126","05124480","Kawishiwi River near Ely, MN","47.922675","-91.535126","Reference"
"SHIN","05288705","Shingle Creek at Minneapolis, MN","28","45.049965","-93.310227","05288705","Shingle Creek at Minneapolis, MN","45.049965","-93.310227","Urban"
"HAST","05331580","Mississippi River at Hastings, MN","37100","44.745833","-92.847778","05331580","Mississippi River at Hastings, MN","44.745833","-92.847778","Large Inland Rivers"
"CLIN","05420500","Mississippi River at Clinton, IA","85600","41.780586","-90.252073","05420500","Mississippi River at Clinton, IA","41.780586","-90.252073","Large Inland Rivers"
"PROV","05451210","South Fork Iowa River near New Providence, IA","224","42.315083","-93.152056","05451210","South Fork Iowa River near New Providence, IA","42.315083","-93.152056","Agriculture"
"WAPE","05465500","Iowa River at Wapello, IA","12500","41.178086","-91.182094","05465500","Iowa River at Wapello, IA","41.178086","-91.182094","Large Inland Rivers"
"KEOS","05490500","Des Moines River at Keosauqua, IA","14038","40.727806","-91.959617","05490500","Des Moines River at Keosauqua, IA","40.727806","-91.959617","Large Inland Rivers"
"VALL","05586300","Illinois River at Florence, IL","26743","39.70338","-90.645405","05586300","Illinois River at Florence, IL","39.70338","-90.645405","Large Inland Rivers"
"GRAF","05587455","Mississippi River Below Grafton, IL","171300","38.951159","-90.371226","05587450","Mississippi River at Grafton, IL","38.967972","-90.429","Large Inland Rivers"
"SIDN","06329500","Yellowstone River near Sidney, MT","69083","47.677414","-104.155411","06329500","Yellowstone River near Sidney, MT","47.677414","-104.155411","Large Inland Rivers"
"OMAH","06610000","Missouri River at Omaha, NE","322800","41.258887","-95.922514","06610000","Missouri River at Omaha, NE","41.258887","-95.922514","Large Inland Rivers"
"DENV","06713500","Cherry Creek at Denver, CO1","410","39.742487","-104.999982","06713500","Cherry Creek at Denver, CO","39.742487","-104.999982","Urban"
"LOVE","06741510","BIG THOMPSON RIVER AT LOVELAND, CO","531","40.3785946","-105.0610909","06741510","BIG THOMPSON RIVER AT LOVELAND, CO","40.3785946","-105.0610909","WSC Site"
"KERS","06754000","South Platte River near Kersey, CO","9661","40.411925","-104.562737","06754000","South Platte River near Kersey, CO (operated by Colorado Division of Water Resources)","40.411925","-104.562737","Large Inland Rivers"
"THED","06775900","Dismal River near Thedford, NE","966","41.778611","-100.525278","06775900","Dismal River near Thedford, NE","41.778611","-100.525278","Reference"
"NICK","06800000","Maple Creek near Nickerson, NE","368","41.561167","-96.540833","06800000","Maple Creek near Nickerson, NE","41.561167","-96.540833","Agriculture"
"ELKH","06800500","Elkhorn River at Waterloo, NE","6900","41.293333","-96.283889","06800500","Elkhorn River at Waterloo, NE","41.293333","-96.283889","Large Inland Rivers"
"LOUI","06805500","Platte River at Louisville, NE","85370","41.015278","-96.157778","06805500","Platte River at Louisville, NE","41.015278","-96.157778","Large Inland Rivers"
"WAME","06887500","KANSAS R AT WAMEGO, KS","55280","39.19833014","-96.3055532","06887500","KANSAS R AT WAMEGO, KS","39.19833014","-96.3055532","WSC Site"
"DESO","06892350","Kansas River at DeSoto, KS","59756","38.983337","-94.964689","06892350","Kansas River at DeSoto, KS","38.983337","-94.964689","Large Inland Rivers"
"SUMN","06902000","Grand River near Sumner, MO","6880","39.640028","-93.273694","06902000","Grand River near Sumner, MO","39.640028","-93.273694","Large Inland Rivers"
"STTH","06926510","Osage River near St. Thomas, MO","14584","38.421444","-92.20825","06926510","Osage River near St. Thomas, MO","38.421444","-92.20825","Large Inland Rivers"
"HERM","06934500","Missouri River at Hermann, MO","522500","38.709806","-91.4385","06934500","Missouri River at Hermann, MO","38.709806","-91.4385","Large Inland Rivers"
"THEB","07022000","Mississippi River at Thebes, IL","713200","37.2216","-89.462975","07022000","Mississippi River at Thebes, IL","37.2216","-89.462975","Large Inland Rivers"
"FIFT","07060710","North Sylamore Creek near Fifty Six, AR","58.1","35.991667","-92.213889","07060710","North Sylamore Creek near Fifty Six, AR","35.991667","-92.213889","Reference"
"SEDG","07144100","Little Arkansas River near Sedgwick, KS","1239","37.883067","-97.424486","07144100","Little Arkansas River near Sedgwick, KS","37.883067","-97.424486","Large Inland Rivers"
"AMAR","07227500","Canadian Rv nr Amarillo, TX","19445","35.4703261","-101.879628","07227500","Canadian Rv nr Amarillo, TX","35.4703261","-101.879628","WSC Site"
"HARR","07241550","North Canadian River near Harrah, OK","13775","35.500341","-97.193919","07241550","North Canadian River near Harrah, OK","35.500341","-97.193919","Large Inland Rivers"
"LITT","07263620","Arkansas River at David D Terry Lock and Dam below Little Rock, AR","158429","34.681111","-92.151389","07263450","Arkansas River at Murray Dam near Little Rock, AR (From COE dam outflow)","34.793056","-92.358333","Large Inland Rivers"
"LELA","07288650","Bogue Phalia near Leland, MS","484","33.396667","-90.847778","07288650","Bogue Phalia near Leland, MS","33.396667","-90.847778","Agriculture"
"LONG","07288955","Yazoo River below Steele Bayou near Long Lake, MS","13355","32.444167","-90.914167","07288955","Yazoo River below Steele Bayou near Long Lake, MS","32.444167","-90.914167","Large Inland Rivers"
"WICH","07312500","Wichita Rv at Wichita Falls, TX","3140","33.90954178","-98.5336663","07312500","Wichita Rv at Wichita Falls, TX","33.90954178","-98.5336663","WSC Site"
"STFR","07373420","Mississippi River near St. Francisville, LA",NA,"30.758517","-91.395946","USACE-01100","Mississippi River at Tarbert Landing, MS (http://rivergages.mvr.usace.army.mil)","30.758517","-91.395946","Large Inland Rivers"
"BELL","07374525","Mississippi River at Belle Chasse, LA",NA,"29.857151","-89.977847","07374525","Mississippi River at Belle Chasse, LA","29.857151","-89.977847","Coastal Rivers"
"MELV","07381495","Atchafalaya  River at Melville, LA",NA,"30.690743","-91.736226","USACE-03045","Atchafalaya River at Simmesport, LA (http://rivergages.mvr.usace.army.mil)","30.690743","-91.736226","Large Inland Rivers"
"MORG","07381600","Lower Atchafalaya River at Morgan City, LA",NA,"29.692819","-91.211937","07381600","Lower Atchafalaya River at Morgan City, LA","29.692819","-91.211937","Coastal Rivers"
"OBER","08014500","Ouiska Chitto Creek near Oberlin, LA","510","30.69875","-92.893194","08014500","Ouiska Chitto Creek near Oberlin, LA","30.69875","-92.893194","Reference"
"WDAL","08057200","White Rock Creek at Dallas, TX","66.4","32.889292","-96.756666","08057200","White Rock Creek at Dallas, TX","32.889292","-96.756666","Urban"
"TDAL","08057410","Trinity River below Dallas, TX","6278","32.707631","-96.735832","08057410","Trinity River below Dallas, TX","32.707631","-96.735832","Large Inland Rivers"
"ROSH","08116650","Brazos River near Rosharon, TX","45339","29.349686","-95.582445","08116650","Brazos River near Rosharon, TX","29.349686","-95.582445","Coastal Rivers"
"CONC","08195000","Frio River at Concan, TX","389","29.488565","-99.704776","08195000","Frio River at Concan, TX","29.488565","-99.704776","Reference"
"ELPA","08364000","Rio Grande at El Paso, TX","32210","31.802885","-106.540822","IBWC-08-3640","Rio Grande at El Paso, Texas (http://www.ibwc.state.gov/wad/DDQPASOR.htm)","31.802885","-106.540822","Large Inland Rivers"
"BROW","08475000","Rio Grande near Brownsville, TX","176333","25.876748","-97.454426","IBWC-08-4750","Rio Grande near Brownsville, TX, and Matamoros, Tamaulipas, Mexico (http://www.ibwc.state.gov)","25.876748","-97.454426","Coastal Rivers"
"WINT","09022000","FRASER RIVER AT UPPER STA, NEAR WINTER PARK, CO","10.5","39.8458204","-105.7519507","09022000","FRASER RIVER AT UPPER STA, NEAR WINTER PARK, CO","39.8458204","-105.7519507","WSC Site"
"FRAS","09032000","RANCH CREEK NEAR FRASER, CO","20","39.94998694","-105.7655627","09032000","RANCH CREEK NEAR FRASER, CO","39.94998694","-105.7655627","WSC Site"
"CLIF","09063000","EAGLE RIVER AT RED CLIFF, CO.","70.2","39.50831949","-106.3666948","09063000","EAGLE RIVER AT RED CLIFF, CO.","39.50831949","-106.3666948","WSC Site"
"MINT","09064600","EAGLE RIVER NEAR MINTURN, CO","186","39.55387495","-106.402529","09064600","EAGLE RIVER NEAR MINTURN, CO","39.55387495","-106.402529","WSC Site"
"GORE","09065500","GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.","14.5","39.6258193","-106.2780823","09065500","GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.","39.6258193","-106.2780823","WSC Site"
"GOR2","09066510","GORE CREEK AT MOUTH NEAR MINTURN, CO","102","39.60943048","-106.447808","09066510","GORE CREEK AT MOUTH NEAR MINTURN, CO","39.60943048","-106.447808","WSC Site"
"AVON","09067005","EAGLE RIVER AT AVON, CO.","395","39.6316527","-106.5225318","09067020","EAGLE R BLW WASTEWATER TREATMENT PLANT AT AVON, CO","39.6316527","-106.5225318","WSC Site"
"GYPS","09069000","EAGLE RIVER AT GYPSUM, CO","842","39.6499851","-106.9522665","09070000","EAGLE RIVER BELOW GYPSUM, CO.","39.6499851","-106.9522665","WSC Site"
"EMMA","09081000","ROARING FORK RIVER NEAR EMMA, CO","859","39.37331729","-107.0839367","09081000","ROARING FORK RIVER NEAR EMMA, CO","39.37331729","-107.0839367","WSC Site"
"GLEN","09085000","ROARING FORK RIVER AT GLENWOOD SPRINGS, CO","1453","39.54359307","-107.3294984","09085000","ROARING FORK RIVER AT GLENWOOD SPRINGS, CO","39.54359307","-107.3294984","WSC Site"
"TAYL","09107000","TAYLOR RIVER AT TAYLOR PARK, CO","128","38.86027127","-106.5666966","09107000","TAYLOR RIVER AT TAYLOR PARK, CO","38.86027127","-106.5666966","WSC Site"
"CEME","09112200","EAST RIVER BELOW CEMENT CREEK NR CRESTED BUTTE, CO","239","38.7841599","-106.8708736","09112200","EAST RIVER BELOW CEMENT CREEK NR CRESTED BUTTE, CO","38.7841599","-106.8708736","WSC Site"
"ALMO","09112500","EAST RIVER AT ALMONT, CO","289","38.66443715","-106.848095","09112500","EAST RIVER AT ALMONT, CO","38.66443715","-106.848095","WSC Site"
"GUNN","09113980","OHIO CREEK ABOVE MOUTH NR GUNNISON, CO","163","38.5877696","-106.931432","09113980","OHIO CREEK ABOVE MOUTH NR GUNNISON, CO","38.5877696","-106.931432","WSC Site"
"GUNI","09114500","GUNNISON RIVER NEAR GUNNISON, CO","1011","38.54193567","-106.9497661","09114500","GUNNISON RIVER NEAR GUNNISON, CO","38.54193567","-106.9497661","WSC Site"
"TOMI","09119000","TOMICHI CREEK AT GUNNISON, CO","1061","38.5211111","-106.9409583","09119000","TOMICHI CREEK AT GUNNISON, CO","38.5211111","-106.9409583","WSC Site"
"UNCO","09149500","UNCOMPAHGRE RIVER AT DELTA, CO","1114","38.74194444","-108.0804167","09149500","UNCOMPAHGRE RIVER AT DELTA, CO","38.74194444","-108.0804167","WSC Site"
"JUNC","09152500","GUNNISON RIVER NEAR GRAND JUNCTION, CO","7923","38.98331575","-108.4506446","09152500","GUNNISON RIVER NEAR GRAND JUNCTION, CO","38.98331575","-108.4506446","WSC Site"
"COLO","09163500","Colorado River near Colorado-Utah State Line","17849","39.13276","-109.027055","09163500","Colorado River near Colorado-Utah state line","39.13276","-109.027055","Large Inland Rivers"
"FREM","09196500","Pine Creek above Freemont Lake, WY","75.8","43.027056","-109.773528","09196500","Pine Creek above Freemont Lake, WY","43.027056","-109.773528","Reference"
"STEA","09239500","YAMPA RIVER AT STEAMBOAT SPRINGS, CO","567","40.4829861","-106.8324306","09239500","YAMPA RIVER AT STEAMBOAT SPRINGS, CO","40.4829861","-106.8324306","WSC Site"
"CRAI","09247600","YAMPA RIVER BELOW CRAIG, CO","2128","40.48080479","-107.6142338","09247600","YAMPA RIVER BELOW CRAIG, CO","40.48080479","-107.6142338","WSC Site"
"DEER","09260050","YAMPA RIVER AT DEERLODGE PARK, CO","7931","40.45163387","-108.525101","09260050","YAMPA RIVER AT DEERLODGE PARK, CO","40.45163387","-108.525101","WSC Site"
"MEEK","09304200","WHITE RIVER ABOVE COAL CREEK NEAR MEEKER, CO","648","40.00497428","-107.8253486","09304200","WHITE RIVER ABOVE COAL CREEK NEAR MEEKER, CO","40.00497428","-107.8253486","WSC Site"
"MEE2","09304800","WHITE RIVER BELOW MEEKER, CO","1042","40.0225833","-108.1199444","09304800","WHITE RIVER BELOW MEEKER, CO","40.0225833","-108.1199444","WSC Site"
"RYAN","09306200","PICEANCE CREEK BL RYAN GULCH, NR RIO BLANCO, CO","506","39.9210833","-108.2975876","09306200","PICEANCE CREEK BL RYAN GULCH, NR RIO BLANCO, CO","39.9210833","-108.2975876","WSC Site"
"PICE","09306222","PICEANCE CREEK AT WHITE RIVER, CO","652","40.0780264","-108.2364753","09306222","PICEANCE CREEK AT WHITE RIVER, CO","40.0780264","-108.2364753","WSC Site"
"BOIS","09306290","WHITE RIVER BELOW BOISE CREEK, NEAR RANGELY, CO","2530","40.17969335","-108.5653775","09306290","WHITE RIVER BELOW BOISE CREEK, NEAR RANGELY, CO","40.17969335","-108.5653775","WSC Site"
"BAYF","09352900","Vallecito Creek near Bayfield, CO","72.5","37.477501","-107.543669","09352900","Vallecito Creek near Bayfield, CO","37.477501","-107.543669","Reference"
"LEES","09380000","Colorado River at Lees Ferry, AZ","111800","36.86471","-111.588216","09380000","Colorado River at Lees Ferry, AZ","36.86471","-111.588216","Large Inland Rivers"
"CAMP","09505800","West Clear Creek near Camp Verde, AZ","241","34.538636","-111.694036","09505800","West Clear Creek near Camp Verde, AZ","34.538636","-111.694036","Reference"
"ANDR","09522000","Colorado River at NIB, above Morelos Dam, AZ","246700","32.718659","-114.718844","09522000","Colorado River at NIB, above Morelos Dam, AZ","32.718659","-114.718844","Coastal Rivers"
"SALT","10168000","Little Cottonwood Creek at Salt Lake City, UT","46","40.663836","-111.90188","10168000","Little Cottonwood Creek at Salt Lake City, UT","40.663836","-111.90188","Urban"
"JSAL","10171000","Jordan River at Salt Lake City, UT","3438","40.733557","-111.92327","10171000","Jordan River at Salt Lake City, UT","40.733557","-111.92327","Large Inland Rivers"
"FORT","10172200","Red Butte Creek at Fort Douglas near Salt Lake City, UT","7.25","40.779946","-111.806045","10172200","Red Butte Creek at Fort Douglas near Salt Lake City, UT","40.779946","-111.806045","Reference"
"TRUC","10343500","Sagehen C nr Truckee CA","10.5","39.431572","-120.237979","10343500","Sagehen C nr Truckee CA","39.431572","-120.237979","Reference"
"CLAR","10350340","Truckee River near Tracy, NV","1580","39.556579","-119.553236","10350340","Truckee River near Tracy, NV","39.556579","-119.553236","Large Inland Rivers"
"PRAD","11074000","Santa Ana River below Prado Dam, CA","2258","33.883349","-117.64533","11074000","Santa Ana River below Prado Dam, CA","33.883349","-117.64533","Coastal Rivers"
"TOKO","11206820","Marble Fork Kaweah R ab Horse C nr Lodgepole, CA","7.65","36.608554","-118.688709","11206820","Marble Fork Kaweah R ab Horse C nr Lodgepole, CA","36.611667","-118.701667","Reference"
"HAPP","11264500","Merced R at Happy Isles Bridge nr Yosemite, CA","181","37.731315","-119.559051","11264500","Merced R at Happy ISles Bridge nr Yosemite, CA","37.731593","-119.558774","Reference"
"VERN","11303500","San Joaquin River near Vernalis, CA","13539","37.676041","-121.266329","11303500","San Joaquin River near Vernalis, CA","37.676041","-121.266329","Coastal Rivers"
"FREE","11447650","Sacramento River at Freeport, CA","23720","38.45602","-121.501344","11447650","Sacramento River at Freeport, CA","38.45602","-121.501344","Coastal Rivers"
"SKOK","12056500","North Fork Skokomish River near Hdsprt, WA","57.2","47.514257","-123.329887","12056500","North Fork Skokomish River near Hdsprt, WA","47.514257","-123.329887","Reference"
"MAZA","12447390","Andrews Creek near Mazama, WA","22.1","48.822924","-120.145925","12447390","Andrews Creek near Mazama, WA","48.822924","-120.145925","Reference"
"GRGR","12505450","Granger Drain at Granger, WA","62","46.343463","-120.186995","12505450","Granger Drain at Granger, WA","46.343463","-120.186995","Agriculture"
"KION","12510500","Yakima River at Kiona, WA","5615","46.253467","-119.478079","12510500","Yakima River at Kiona, WA","46.253467","-119.478079","Large Inland Rivers"
"REXB","13056500","Henrys Fork near Rexburg, ID","2920","43.825833","-111.905","13056500","Henrys Fork near Rexburg, ID","43.825833","-111.905","Large Inland Rivers"
"TWIN","13092747","Rock Creek at Twin Falls, ID 2","259","42.5625","-114.494722","13092747","Rock Creek at Twin Falls, ID","42.5625","-114.494722","Agriculture"
"KING","13154500","Snake River at King Hill, ID","35800","43.002222","-115.2025","13154500","Snake River at King Hill, ID","43.002222","-115.2025","Large Inland Rivers"
"BLUE","14161500","Lookout Creek near Blue River, OR","24.1","44.209571","-122.256733","14161500","Lookout Creek near Blue River, OR","44.209571","-122.256733","Reference"
"MTAN","14201300","Zollner Creek near Mt. Angel, OR","15","45.100398","-122.82176","14201300","Zollner Creek near Mt. Angel, OR","45.100398","-122.82176","Agriculture"
"MEAC","14205400","East Fork Dairy Creek near Meachan Corner, OR","33.8","45.682336","-123.069553","14205400","East Fork Dairy Creek near Meachan Corner, OR","45.682336","-123.069553","Reference"
"DURH","14206950","Fanno Creek at Durham, OR","31.5","45.403452","-122.754819","14206950","Fanno Creek at Durham, OR","45.403452","-122.754819","Urban"
"PORT","14211720","Willamette River at Portland, OR","11200","45.5175","-122.669167","14211720","Willamette River at Portland, OR","45.5175","-122.669167","Large Inland Rivers"
"QUIN","14246900","Columbia River near Beaver Army Terminal, OR","256900","46.181221","-123.183454","14246900","Columbia River near Beaver Army Terminal, OR","46.181221","-123.183454","Coastal Rivers"
"TALK","15292700","Talkeetna R nr Talkeetna, AK","2010","62.346439","-150.019201","15292700","Talkeetna R nr Talkeetna, AK","62.346439","-150.019201","Reference"
"PILO","15565447","Yukon River at Pilot Station, AK","321000","61.933687","-162.882936","15565447","Yukon River at Pilot Station, AK","61.933687","-162.882936","Coastal Rivers"
"HONO","16618000","Kahakuloa Stream near Honokohau, Maui, HI","3.4","20.978694","-156.5545","16618000","Kahakuloa Stream near Honokohau, Maui, HI","20.978694","-156.5545","Reference"
"VICK","322023090544500","Mississippi River above Vicksburg, MS","1131100","32.339722","-90.9125","COMPUTED","Difference of streamflow at 07289000 (Miss R at Vicksburg) and 07288955 (Yazoo R bl Steele Bayou)","32.339722","-90.9125","Large Inland Rivers"
"MILK","394220106431500","EAGLE RIVER BELOW MILK CREEK NEAR WOLCOTT, CO","600","39.705","-106.7258333","394220106431500","EAGLE RIVER BELOW MILK CREEK NEAR WOLCOTT, CO","39.705","-106.7258333","WSC Site"
